"数据年月","商品编码","商品名称","美元",
"202607","8507","蓄电池，包括隔板，不论是否矩形（包括正方形）","297,272,719",
"202607","8517","电话机，包括用于蜂窝网络或其他无线网络的智能手机及其他电话机；其他发送或接收声音、图像或其他数据用的设备，包括有线或无线网络（例如，局域网或广域网）的通信设备，品目8443、8525、8527或8528的发送或接收设备除外","3,829,351,268",
"202607","8525","无线电广播、电视发送设备，不论是否装有接收装置或声音的录制、重放装置；电视摄像机、数字照相机及视频摄录一体机","182,664,341",
"202607","8526","雷达设备、无线电导航设备及无线电遥控设备","196,547,766",
"202607","8529","专用于或主要用于品目8524至8528所列装置或设备的零件","1,158,792,454",
"202607","8537","用于电气控制或电力分配的盘、板、台、柜及其他基座，装有两个或多个品目8535或8536所列的装置，包括装有第90章所列仪器或装置，以及数控装置，但品目8517的交换机除外","504,934,891",
"202607","8541","半导体器件（例如，二极管、晶体管，半导体基换能器）；光敏半导体器件，包括不论是否装在组件内或组装成块的光电池；发光二极管（LED），不论是否与其他发光二极管（LED）组装；已装配的压电晶体","2,852,936,192",
"202607","8542","集成电路","63,921,125,553",
"202607","9018","医疗、外科、牙科或兽医用仪器及器具，包括闪烁扫描装置、其他电气医疗装置及视力检查仪器","933,685,233",
"202607","9027","理化分析仪器及装置（例如，偏振仪、折光仪、分光仪、气体或烟雾分析仪）；测量或检验黏性、多孔性、膨胀性、表面张力及类似性能的仪器及装置；测量或检验热量、声量或光量的仪器及装置（包括曝光表）；检镜切片机","719,114,003",
"202607","9504","视频游戏控制器及设备，桌上或室内游戏，包括弹球机、台球、娱乐专用桌及保龄球自动球道设备，用硬币、钞票、银行卡、代币或任何其他支付方式使其工作的游乐机器","115,794,260",
